species_name	proteomes	lifestyle	genomes	accession	alternative_name
Alternaria_alternata	3.0	N	1	GCA_001572055.1,GCA_001642055.1,GCA_004154755.1	 
Alternaria_arborescens	3.0	N	1	GCA_004154815.1,GCA_004154835.1,GCA_004155955.1   
Alternaria_gaisen	1.0	N	1	GCA_004156025.2   
Alternaria_tenuissima	7.0	N	1	GCA_004154735.1,GCA_004154745.1,GCA_004154765.1,GCA_004154845.1,GCA_004156015.1,GCA_004156035.1,GCA_004168565.1 
Ascochyta_rabiei	1.0	N	1	GCA_001630375.1	
Bipolaris_zeicola	1.0	N	1	GCF_000523435.1	Cochliobolus_carbonum
Bipolaris_maydis	2.0	N	1	GCA_000338975.1,GCA_000354255.1	Cochliobolus_heterostrophus
Bipolaris_oryzae	1.0	N	1	GCA_000523455.1	Cochliobolus_miyabeanus
Bipolaris_sorokiniana	2.0	H	1	GCA_000338995.1,GCA_013416765.1	Cochliobolus_sativus
Bipolaris_victoriae	1.0	N	1	GCF_000527765.1	Cochliobolus_victoriae
Dothistroma_septosporum	1.0	H	1	GCA_000340195.1
Leptosphaeria_maculans	1.0	H	1	GCA_000230375.1	
Macrophomina_phaseolina	1.0	H	1	GCA_000302655.1	
Parastagonospora_nodorum	1.0	N	1	GCA_000146915.2
Pseudocercospora_fijiensis	1.0	H	1	GCA_000340215.1	Mycosphaerella_fijiensis
Pyrenophora_teres_f_teres	8.0	N	1	GCA_000166005.1,GCA_009728635.1,GCA_009728645.1,GCA_009728655.1,GCA_009728665.1,GCA_009728675.1,GCA_900231935.2,GCA_900232045.2
Pyrenophora_tritici-repentis	10.0	N	1	GCA_000149985.1,GCA_003171515.2,GCA_003171545.1,GCA_003231325.1,GCA_003231345.1,GCA_003231355.1,GCA_003231365.1,GCA_003231415.2,GCA_003231425.1,GCA_008692205.1	
Ramularia_collo-cygni	1.0	H	1	GCA_900074925.1
Setosphaeria_turcica	1.0	H	1	GCA_000359705.1	
Venturia_inaequalis	4.0	H	1	GCA_003351075.1,GCA_009769405.1,GCA_009769425.1,GCA_009769445.1
Yarrowia_lipolytica	13.0	S	1	GCA_000002525.1,GCA_001761485.1,GCA_003367845.1,GCA_003367865.1,GCA_003367925.1,GCA_003367945.1,GCA_003367965.1,GCA_003698155.1,GCA_009194645.1,GCA_009372015.1,GCA_014490615.1,GCA_900087985.1,GCA_900537225.1	
Zymoseptoria_brevis	1.0	H	1	GCA_000966595.1
Zymoseptoria_tritici	5.0	H	1	GCA_000219625.1,GCA_900091695.1,GCA_900099495.1,GCA_900184105.1,GCA_900184115.1	
Aspergillus_fumigatus	11.0	S	1	GCA_000002655.1,GCA_000150145.1,GCA_000731615.1,GCA_001029325.1,GCA_002234955.1,GCA_002234985.1,GCA_012656115.1,GCA_012656125.1,GCA_012656165.1,GCA_012656185.1,GCA_012656215.1	
Aspergillus_nidulans	2.0	S	1	GCA_000011425.1,GCA_000149205.2	
Aspergillus_oryzae	4.0	S	1	GCA_000184455.3,GCA_000269785.2,GCA_000691885.1,GCA_002007945.1	
Uncinocarpus_reesii	1.0	S	1	GCF_000003515.1
Blumeria_graminis_f_sp_hordei	2.0	B	1	GCA_000151065.3,GCA_900237765.1	
Blumeria_graminis_f_sp_tritici	2.0	B	1	GCA_900519115.1,GCA_000418435.1	
Botrytis_cinerea	3.0	N	1	GCA_000143535.4,GCA_000227075.1,GCA_000349525.1	
Erysiphe_necator	1.0	B	1	GCA_000798715.1
Marssonina_brunnea_f_sp_’multigermtubi’	1.0	H	1	GCA_000298775.1
Sclerotinia_borealis	1.0	N	1	GCA_000503235.1	
Sclerotinia_sclerotiorum	2.0	N	1	GCA_000146945.2,GCA_001857865.1
Debaryomyces_hansenii	1.0	S	1	GCA_000006445.2
Komagataella_phaffii	5.0	S	1	GCA_000027005.1,GCA_000223565.1,GCA_001708085.1,GCA_001746955.1,GCA_900235035.1	
