Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
CCA13903	GH38(48-349)	GH38(15)	GH38	3
CCA13966	GH5_12(60-573)	GH5(84)	GH5_12	3
CCA14218	CE2(201-430)	-	CE2	2
CCA14249	GH17(133-374)	GH17(48)	GH17	3
CCA14287	GT31(111-257)	-	GT31	2
CCA14291	GH30_1(118-522)	GH30(24)	GH30_1	3
CCA14303	GH72(58-372)	GH72(7)	GH72	3
CCA14377	GH131(60-232)	-	-	1
CCA14407	GH5_20(183-530)	-	GH5_20	2
CCA14500	GT24(1390-1635)	GT24(1)	GT24	3
CCA14547	GT1(173-493)	-	GT1	2
CCA14548	GT2_Glycos_transf_2(99-272)	-	GT2	2
CCA14552	CE1(21-277)	-	-	1
CCA14642	CE10(128-269)	-	-	1
CCA15003	GH5_20(130-470)	GH5(111)	GH5_20	3
CCA15036	GT66(60-688)	GT66(1)	GT66	3
CCA15064	GH32(37-364)	-	GH32	2
CCA15068	GH32(38-365)	-	GH32	2
CCA15104	GT60(320-616)	-	GT60	2
CCA15193	GT71(132-406)	-	GT71	2
CCA15235	GT20(69-602)	-	GT20	2
CCA15270	GT57(35-514)	GT57(1)	GT57	3
CCA15423	GH43_24(887-989)	-	GH0	2
CCA15473	GH72(19-324)	GH72(7)	GH72	3
CCA15626	AA4(15-239)	-	-	1
CCA15666	GT32(99-173)	-	GT32	2
CCA15748	GH72(2187-2490)	GH72(6)	GH72	3
CCA15845	AA6(3-197)	AA6(4)	-	2
CCA15861	GH5_14(74-353)+GH5_14(478-598)	GH5(36)	GH5	3
CCA15900	GH5_14(164-433)	-	GH5	2
CCA15901	GH72(30-334)	-	GH72	2
CCA16211	GT8(59-266)	-	GT8	2
CCA16270	GT32(99-173)	-	GT32	2
CCA16314	AA4(15-239)	-	-	1
CCA16398	GT2_Chitin_synth_1(224-385)+GT2_Chitin_synth_2(362-588)	GT2(9)	GT2	3
CCA16404	GT20(3-514)	-	GT20	2
CCA16456	GT20(166-642)	GT20(2)+CBM20(39)	GT20	3
CCA16706	GT4(288-450)	-	GT4	2
CCA16750	GH18(75-367)	-	GH18	2
CCA16954	GH6(34-289)	-	GH6	2
CCA17033	GT48(859-1597)	GT48(3)	GT48	3
CCA17037	GT48(862-1608)	GT48(3)	GT48	3
CCA17083	GH17(308-559)	-	GH17	2
CCA17398	GT96(432-558)	-	-	1
CCA17560	GH35(106-408)	-	GH35	2
CCA17610	GH81(25-276)	-	GH81	2
CCA17636	GH5_14(199-473)	-	GH5	2
CCA17643	CE10(480-735)	-	-	1
CCA17694	GT66(6-695)	GT66(1)	GT66	3
CCA17719	GH37(142-699)	GH37(4)	GH37	3
CCA17720	GH37(119-681)	GH37(4)	GH37	3
CCA17722	GT20(317-817)	CBM20(39)	GT20	3
CCA17747	GH5_14(91-349)	-	GH5	2
CCA18245	GT50(128-393)	GT50(3)	GT50	3
CCA18340	GT66(6-695)	GT66(1)	GT66	3
CCA18365	GH37(142-699)	GH37(4)	GH37	3
CCA18366	GH37(119-681)	GH37(4)	GH37	3
CCA18368	GT20(317-817)	CBM20(39)	GT20	3
CCA18790	GT76(153-490)	-	GT76	2
CCA18874	GH81(13-735)	-	GH81	2
CCA18876	GH63(682-966)	GH63(2)	GH63	3
CCA18910	GT60(89-390)	-	GT60	2
CCA18992	GH17(21-279)	-	GH17	2
CCA19047	GH81(77-811)	GH81(4)	GH81	3
CCA19070	GH28(5-265)	-	GH28	2
CCA19073	GH28(5-262)	-	GH28	2
CCA19141	CBM9(50-225)	-	-	1
CCA19238	GT20(256-756)	CBM20(39)	GT20	3
CCA19356	GT2_Cellulose_synt(814-1081)	-	GT2	2
CCA19369	GT2_Glyco_trans_2_3(634-838)	-	GT2	2
CCA19448	CE5(20-186)	-	CE5	2
CCA19623	GH5_20(227-563)	GH5(111)	GH5_20	3
CCA19642	GT8(3-234)	-	GT8	2
CCA19773	GT20(64-533)	-	GT20	2
CCA19804	GH5_20(132-473)	GH5(111)	GH5_20	3
CCA19807	GT48(872-1563)	GT48(3)	GT48	3
CCA19936	GT48(1113-1841)	GT48(3)	GT48	3
CCA20034	GT57(20-497)	GT57(2)	GT57	3
CCA20051	GT71(201-441)	GT71(21)	GT71	3
CCA20052	GH6(11-271)	GH6(15)	GH6	3
CCA20177	AA3_2(99-648)	-	-	1
CCA20215	GH1(21-504)	GH1(46)	GH1	3
CCA20280	AA1_2(37-327)	AA1(4)	AA1	3
CCA20293	AA1_2(43-412)	-	AA1	2
CCA20339	GT20(76-554)	GT20(2)	GT20	3
CCA20578	GH81(204-880)	GH81(7)	GH81	3
CCA20579	GH81(204-891)	GH81(7)	GH81	3
CCA20580	GH81(190-878)	GH81(7)	GH81	3
CCA20581	GH81(190-878)	GH81(7)	GH81	3
CCA20582	GH81(204-880)	GH81(7)	GH81	3
CCA20681	GH5_14(131-394)	-	GH5	2
CCA20818	GH123(626-836)	-	GH123	2
CCA20955	GT71(228-457)	GT71(21)	GT71	3
CCA21376	GH3(115-331)	-	GH3	2
CCA21377	GH3(114-330)	-	GH3	2
CCA21422	GH37(181-738)	GH37(4)	GH37	3
