Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
Phyra38638	AA2(11-262)	-	-	1
Phyra38945	GH5_33(109-386)	GH5(41)+CBM43(17)	CBM43+GH5_33	3
Phyra38947	GT66(3-666)	GT66(1)	GT66	3
Phyra39059	PL3_2(1-164)	PL3(9)	PL3_2	3
Phyra39341	GH5_33(97-374)	GH5(41)+CBM43(17)	CBM43+GH5_33	3
Phyra39767	GH43_6(2-180)	-	-	1
Phyra39775	PL1_4(116-310)	PL1(21)	PL1_4	3
Phyra39825	PL3_2(32-224)	PL3(9)	PL3_2	3
Phyra40276	AA3_2(1-539)	AA3(2)	AA3_2	3
Phyra40336	AA3_2(7-538)	AA3(2)	AA3_2	3
Phyra40606	GT1(117-432)	GT1(112)	GT1	3
Phyra40980	GH28(16-332)	GH28(19)	GH28	3
Phyra41489	GH5_33(203-480)	GH5(41)+CBM43(17)	CBM43+GH5_33	3
Phyra41820	GH28(46-343)	GH28(19)	GH28	3
Phyra41921	GH28(2-125)	GH28(19)	-	2
Phyra42333	PL3_2(2-168)	PL3(9)	PL3_2	3
Phyra42787	PL3_2(1-164)	PL3(9)	PL3_2	3
Phyra43398	PL3_2(6-200)	PL3(9)	PL3_2	3
Phyra43914	GT57(2-193)	GT57(1)	-	2
Phyra44445	PL3_2(6-199)	PL3(9)	PL3_2	3
Phyra44446	PL3_2(3-181)	PL3(9)	PL3_2	3
Phyra44483	PL3_2(5-201)	PL3(9)	PL3_2	3
Phyra44485	PL3_2(3-180)	PL3(9)	-	2
Phyra44487	PL3_2(5-201)	PL3(9)	PL3_2	3
Phyra44512	PL3_2(6-201)	PL3(9)	PL3_2	3
Phyra45104	GH47(12-450)	GH47(1)	GH47	3
Phyra45108	GH47(12-456)	GH47(1)	GH47	3
Phyra45645	GT58(3-356)	GT58(2)	GT58	3
Phyra45942	PL1_4(117-309)	PL1(21)	PL1_4	3
Phyra46219	PL1_4(120-314)	PL1(21)	PL1_4	3
Phyra46251	PL3_2(6-199)	PL3(9)	PL3_2	3
Phyra46268	GH38(2-115)	-	-	1
Phyra46727	GT33(2-416)	GT33(2)	GT33	3
Phyra46978	GT4(190-327)	-	GT4	2
Phyra47458	CE5(28-204)	CE5(17)	CE5	3
Phyra47638	GH5_7(52-336)	-	GH5_7+3.2.1.78	2
Phyra48642	GH28(17-331)	GH28(19)	GH28+3.2.1.15	3
Phyra49047	GH12(71-217)	GH12(8)+CBM1(36)	GH12	3
