Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
HpaP800080	GH3(118-340)	-	GH3	2
HpaP800098	GH3(117-339)	-	GH3	2
HpaP800150	GT59(57-259)	GT59(1)	-	2
HpaP800208	GT22(6-311)	-	-	1
HpaP800270	GH31(275-763)	GH31(20)	GH31	3
HpaP800565	GT1(97-430)	-	-	1
HpaP800765	GT58(48-400)	GT58(2)	GT58	3
HpaP800814	GT20(59-544)	-	GT20	2
HpaP800822	GT71(171-401)	GT71(21)	GT71	3
HpaP800829	GT71(195-425)	GT71(21)	GT71	3
HpaP800890	AA4(47-253)	-	-	1
HpaP801034	AA2(82-327)	-	-	1
HpaP801234	GH5_14(68-346)	-	GH5	2
HpaP801470	GT71(90-324)	GT71(21)	-	2
HpaP801816	GT22(25-449)	GT22(2)	GT22	3
HpaP801972	GT60(111-429)	-	-	1
HpaP801997	GH81(12-373)	GH81(7)	-	2
HpaP802002	GH81(22-620)	-	GH81	2
HpaP802037	GT48(1087-1806)	GT48(3)	GT48	3
HpaP802038	GT48(1114-1840)	GT48(3)	GT48	3
HpaP802102	GH72(35-383)	GH72(7)	GH72	3
HpaP802149	GH5_20(178-519)	GH5(111)	GH5_20	3
HpaP802151	GH5_20(183-525)	GH5(111)	GH5_20	3
HpaP802152	GH5_20(63-402)	GH5(111)	GH5_20	3
HpaP802158	PL3_2(288-484)+PL3_2(669-865)	PL3(9)	PL3_2	3
HpaP802192	PL3_2(33-218)+PL3_2(342-533)	PL3(9)+CBM13(31)	PL3_2	3
HpaP802205	GH5_20(123-494)	-	GH5_20	2
HpaP802206	GH5_20(164-303)	-	GH5_20	2
HpaP802214	CE5(20-198)	CE5(17)	-	2
HpaP802215	GH53(27-341)	GH53(7)	-	2
HpaP802234	GT2_Glycos_transf_2(8-104)	GT2(122)	GT2	3
HpaP802400	GH81(79-809)	GH81(4)	GH81	3
HpaP802743	PL3_2(9-199)	PL3(9)	PL3_2	3
HpaP802787	GT20(182-660)	GT20(2)	GT20	3
HpaP802969	GH43_6(35-335)	-	GH43_6	2
HpaP802972	GH43_6(1-116)	-	-	1
HpaP803115	GT66(66-696)	GT66(1)	GT66	3
HpaP803264	CE2(221-438)	-	CE2	2
HpaP803370	PL3_2(81-273)	-	-	1
HpaP803638	AA3_2(62-620)	-	-	1
HpaP803689	GH5_20(147-492)	-	GH5_20	2
HpaP803753	CE4(70-157)	-	-	1
HpaP803777	PL1_4(126-318)	PL1(21)	PL1_4	3
HpaP803783	PL1_4(131-320)	PL1(21)	PL1_4	3
HpaP803990	CE8(36-295)	CE8(30)	CE8	3
HpaP803998	GH10(35-329)	GH10(65)	GH10	3
HpaP804003	CE8(36-295)	CE8(30)	CE8	3
HpaP804292	GT20(295-796)	GT20(2)+CBM20(39)	GT20	3
HpaP804300	GT1(2-205)+GT1(602-949)	GT1(94)	GT1	3
HpaP804428	CE1(196-502)	-	-	1
HpaP804446	GH81(179-850)	GH81(1)	GH81	3
HpaP804495	GT30(11-213)	-	-	1
HpaP804545	GT57(30-563)	GT57(2)	GT57	3
HpaP804578	GH81(114-787)	GH81(7)	GH81	3
HpaP804579	GH81(27-278)	GH81(7)	GH81	3
HpaP804695	GH30_1(114-489)	-	GH30_1	2
HpaP804997	GT62(237-480)	GT62(4)	-	2
HpaP805014	AA2(72-190)+AA2(459-679)	-	-	1
HpaP805038	AA2(72-176)+AA2(459-679)	-	-	1
HpaP805075	CE10(128-411)	-	-	1
HpaP805282	GH17(5-211)	-	-	1
HpaP805286	GH17(10-270)	-	-	1
HpaP805320	AA7(161-386)	-	-	1
HpaP805382	GH12(93-237)	GH12(8)	GH12	3
HpaP805406	CE1(21-278)	-	-	1
HpaP805430	GT1(107-453)	-	GT1	2
HpaP805450	GH37(79-632)	GH37(3)	GH37	3
HpaP805451	GH37(67-620)	GH37(3)	GH37	3
HpaP805611	CBM9(38-123)	-	-	1
HpaP805945	GH18(98-268)	-	-	1
HpaP805949	GT48(828-1518)	GT48(3)	GT48	3
HpaP806090	GH16(79-418)+GT48(1664-2321)	GT48(3)	GH16+GT48	3
HpaP806351	CE10(183-432)	-	-	1
HpaP806365	CE10(122-376)	-	-	1
HpaP806372	GH32(46-180)	-	-	1
HpaP806524	GT4(296-452)	-	GT4	2
HpaP806525	GT4(296-452)	-	GT4	2
HpaP806548	GT22(2-369)	-	-	1
HpaP806581	GH5_33(147-424)	GH5(41)+CBM43(17)	CBM43+GH5_33	3
HpaP806582	GH5_33(159-436)	GH5(41)+CBM43(17)	CBM43+GH5_33	3
HpaP806603	GH7(26-464)	GH7(1)+CBM1(1)	GH7	3
HpaP806619	GH30_5(33-494)	GH30(12)	GH30_5	3
HpaP806620	GH30_5(33-494)	GH30(12)	GH30_5	3
HpaP806814	GH1(6-472)	GH1(33)	GH1	3
HpaP806962	CE5(2-144)	CE5(17)	-	2
HpaP806994	CE10(30-255)	-	-	1
HpaP806997	GT4(248-402)	GT4(38)	GT4	3
HpaP806998	GT4(228-382)	GT4(38)	GT4	3
HpaP807400	GT2_Chitin_synth_1(224-389)	GT2(9)	GT2	3
HpaP807713	GT48(856-1598)	GT48(3)	GT48	3
HpaP807818	GH1(30-425)	-	-	1
HpaP808080	GT60(72-386)	-	-	1
HpaP808124	GT8(54-253)	-	GT8	2
HpaP808125	GT8(54-253)	-	GT8	2
HpaP808164	GT71(1-182)	-	-	1
HpaP808172	GT71(88-368)	-	-	1
HpaP808176	GT71(61-341)	-	-	1
HpaP808179	GT71(67-348)	-	-	1
HpaP808180	GT71(94-368)	-	-	1
HpaP808244	GH5_1(20-326)	-	-	1
HpaP808292	CE10(457-688)	-	-	1
HpaP808293	GT22(12-406)	GT22(8)	GT22	3
HpaP808301	GH31(605-1013)	-	GH31	2
HpaP808343	GT96(517-647)	-	-	1
HpaP808503	AA6(82-276)	AA6(2)	-	2
HpaP808512	GH18(209-398)	GH0(54)	-	2
HpaP808513	GT20(71-413)	GT20(2)	GT20	3
HpaP808533	GH30_1(91-533)	GH30(17)	GH30_1+3.2.1.21+3.2.1.37	3
HpaP808535	GH30_1(1-388)	-	GH30_1+3.2.1.21+3.2.1.37	2
HpaP808599	GH12(92-242)	GH12(7)	-	2
HpaP808603	GH5_14(55-336)	GH5(90)	-	2
HpaP808621	GH3(114-332)	-	GH3	2
HpaP808934	GH131(60-257)	-	-	1
HpaP808936	GH131(60-268)	-	-	1
HpaP808946	GH131(22-249)	-	-	1
HpaP808999	GH5_12(15-500)	GH5(27)	GH5_12	3
HpaP809194	GH6(28-285)	GH6(15)	-	2
HpaP809195	GH6(7-250)	-	-	1
HpaP809280	CE8(49-325)	CE8(30)	CE8	3
HpaP809312	GH18(102-338)	-	GH18	2
HpaP809339	CE8(66-341)	CE8(30)	CE8	3
HpaP809344	GH17(46-300)+CBM13(315-440)	GH17(31)+CBM13(96)	CBM13+GH17	3
HpaP809347	GH17(45-300)+CBM13(315-439)	GH17(31)+CBM13(96)	CBM13+GH17	3
HpaP809439	GT66(1-482)	GT66(1)	GT66	3
HpaP809590	GT76(5-408)	-	GT76	2
HpaP809613	GH81(1-591)	GH81(7)	GH81	3
HpaP809702	GH17(46-297)	-	-	1
HpaP809836	AA7(69-509)	-	-	1
HpaP809882	CE10(173-474)	-	-	1
HpaP810018	GH5_7(57-331)	-	GH5_7+3.2.1.78	2
HpaP810051	GT2_Cellulose_synt(819-1085)	-	GT2+2.4.1.12	2
HpaP810253	PL1_4(15-158)	PL1(21)	-	2
HpaP810254	PL1_4(136-328)	PL1(21)	PL1_4	3
HpaP810285	GH37(190-737)	GH37(4)	GH37	3
HpaP810311	GH7(30-471)	GH7(1)+CBM1(1)	GH7	3
HpaP810328	GT20(14-513)	-	GT20	2
HpaP810356	GH81(109-780)	-	GH81	2
HpaP810444	GH5_1(39-352)	-	-	1
HpaP810456	GT71(283-512)	GT71(21)	GT71	3
HpaP810523	CE10(500-762)	-	-	1
HpaP810555	AA7(95-531)	-	-	1
HpaP810685	GT71(459-694)	GT71(21)	-	2
HpaP810688	GT71(176-410)	GT71(21)	-	2
HpaP810745	CE10(95-353)	-	-	1
HpaP810746	GT60(98-400)	-	GT60	2
HpaP810917	AA3_2(32-344)	-	AA3_2	2
HpaP810945	AA7(69-509)	-	-	1
HpaP811032	GH81(70-771)	GH81(1)+CBM6(13)	GH81	3
HpaP811297	GT90(252-598)	-	GT0	2
HpaP811418	GT20(56-521)	-	GT20	2
