Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
PYU1_T000005	GT20(48-515)	-	GT20	2
PYU1_T000141	GH63(629-923)	GH63(2)	GH63	3
PYU1_T000192	GH5_1(22-344)	GH5(109)	-	2
PYU1_T000370	GT71(118-406)	-	-	1
PYU1_T000371	GT71(161-442)	-	-	1
PYU1_T000383	GT71(115-408)	-	-	1
PYU1_T000391	GT76(5-431)	-	GT76	2
PYU1_T000438	GH28(45-179)	GH28(19)	-	2
PYU1_T000548	GT48(837-1585)	GT48(3)	GT48	3
PYU1_T000567	GT48(970-1404)	GT48(3)	GT48	3
PYU1_T000747	GT48(1074-1746)	GT48(3)	GH16+GT48	3
PYU1_T000770	GH72(34-385)	GH72(7)	GH72	3
PYU1_T000791	GH3(73-280)	-	GH3	2
PYU1_T000842	GH30_5(27-486)	GH30(16)+CBM13(11)	GH30_5	3
PYU1_T000887	GT59(27-390)	GT59(1)	GT59	3
PYU1_T000955	GH3(115-336)	GH3(64)	GH3	3
PYU1_T000957	GH3(115-311)	GH3(64)	GH3	3
PYU1_T001030	GH28(47-366)	GH28(19)	GH28+3.2.1.15	3
PYU1_T001031	GH28(47-366)	GH28(19)	GH28+3.2.1.15	3
PYU1_T001042	GT22(16-425)	GT22(12)	GT22	3
PYU1_T001053	PL3_2(33-226)	PL3(9)+CBM13(31)	-	2
PYU1_T001061	GH3(85-286)	-	GH3	2
PYU1_T001112	GT20(125-601)	GT20(2)+CBM20(39)	GT20	3
PYU1_T001170	GH5_1(45-224)	-	-	1
PYU1_T001220	GH47(16-491)	GH47(3)	GH47	3
PYU1_T001225	GT20(299-799)	GT20(2)+CBM20(39)	GT20	3
PYU1_T001269	GT1(234-547)	GT1(38)	GT1	3
PYU1_T001273	GT1(223-537)+GT1(950-1280)	GT1(112)	GT1	3
PYU1_T001346	GH13_32(302-533)	-	CBM21+GH13	2
PYU1_T001466	AA6(3-198)	AA6(2)	-	2
PYU1_T001485	AA16(22-190)	-	-	1
PYU1_T001495	GH5_14(88-369)	-	GH5	2
PYU1_T001496	GH5_14(59-330)	-	-	1
PYU1_T001506	CE11(7-332)	CE11(13)	-	2
PYU1_T001515	AA16(21-188)	-	-	1
PYU1_T001521	AA16(21-188)	-	-	1
PYU1_T001522	AA16(79-191)	-	-	1
PYU1_T001558	GH123(281-775)	-	GH123	2
PYU1_T001605	GT71(244-454)	-	-	1
PYU1_T001609	GT71(297-526)	GT71(21)	GT71	3
PYU1_T001610	GT71(249-477)	GT71(21)	GT71	3
PYU1_T001658	GH5_20(96-437)	GH5(111)	GH5_20	3
PYU1_T001660	GH5_20(122-463)	GH5(111)	GH5_20	3
PYU1_T001664	GT71(250-479)	GT71(21)	GT71	3
PYU1_T001861	GT41(85-735)	GT41(5)	-	2
PYU1_T001923	CBM38(668-766)	-	-	1
PYU1_T001938	GH35(133-425)	GH35(2)	GH35	3
PYU1_T001945	GH131(63-233)	-	-	1
PYU1_T001949	GH131(51-214)	-	-	1
PYU1_T001992	GT31(1-162)	-	-	1
PYU1_T002039	GH1(6-472)	GH1(24)	GH1	3
PYU1_T002046	GH81(80-740)	GH81(7)	GH81	3
PYU1_T002186	CE4(50-215)	-	-	1
PYU1_T002274	GH81(13-334)	GH81(7)	GH81	3
PYU1_T002299	GH81(114-782)	GH81(7)	GH81	3
PYU1_T002377	GT48(1135-1863)	GT48(3)	GT48	3
PYU1_T002378	GT48(1122-1847)	GT48(3)	GT48	3
PYU1_T002412	PL1_4(125-320)	PL1(21)	PL1_4	3
PYU1_T002413	PL1_4(123-319)	PL1(21)	PL1_4	3
PYU1_T002414	PL1_4(124-319)	PL1(21)	PL1_4	3
