name,0
Phospho-2-dehydro-3-deoxyheptonate aldolase,87
3-dehydroquinate synthase,86
LLM-family F420-associated subfamilies,0
Glutamate--cysteine ligase,86
Glutathione synthetase,86
"Succinyl-CoA synthetase, alpha subunit",11
"Succinate dehydrogenase, cytochrome b subunit",83
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,85
Dethiobiotin synthase,84
Biotin synthase,81
Anthranilate synthase component I,86
Anthranilate phosphoribosyltransferase,50
N-(5'phosphoribosyl)anthranilate isomerase,84
Indole-3-glycerol phosphate synthase,86
GTP cyclohydrolase I,35
Dihydrofolate synthase,86
Histidinol-phosphate phosphatase,85
Imidazoleglycerol-phosphate dehydratase,86
Phosphoribosylaminoimidazole-succinocarboxamide synthase,81
Phosphoribosylamine--glycine ligase,86
Phosphoribosylglycinamide formyltransferase,86
Glutamate 5-kinase,86
Argininosuccinate synthase,83
Argininosuccinate lyase,85
"6-phosphogluconate dehydrogenase, decarboxylating",86
Ribulose-phosphate 3-epimerase,86
2-dehydropantoate 2-reductase,86
Pantoate--beta-alanine ligase,86
F1 delta subunit of F1/F0 ATP synthase,85
F1 epsilon subunit of F1/F0 ATP synthase,85
3-prenyl-4-hydroxybenzoate decarboxylase,83
3-demethylubiquinone-9 3-methyltransferase,85
FeS assembly iron donor CyaY,86
Galactose-1-phosphate uridylyltransferase,84
UDP-glucose 4-epimerase,85
Sulfate adenylyltransferase,84
Homoserine kinase,86
"Acetohydroxyacid synthase, small subunit",84
Dihydroxy-acid dehydratase,85
Glycogen debranching enzyme,86
Alpha-glucan phosphorylases,82
Pantothenate kinase,83
Dephospho-CoA kinase,85
Dihydrolipoamide dehydrogenase,86
Glycine cleavage system T protein,86
Methionine-R-sulfoxide reductase,85
Dihydroorotase,78
Inner membrane protein oxaA,85
Delta-aminolevulinic acid dehydratase,81
5-aminolevulinic acid synthase,84
Succinate-semialdehyde dehydrogenase,84
Chaperonin GroEL,86
Co-chaperonin GroES,86
Arsenite efflux transporter ArsB,83
S-(hydroxymethyl)glutathione dehydrogenase,86
Assembly protein CoxW/CtaA/Cox15,84
"Thiamine pyrophosphate-binding subunit, SucA (E1)",86
Kynureninase,85
Ureidoglycolate lyase (4.3.2.3),85
Glyceraldehyde-3-phosphate dehydrogenase,83
Phosphoglycerate kinase,85
Inosine-5'-phosphate dehydrogenase,86
U34 modification protein GidA,85
"D-galactarate transporter, putative",51
Translation elongation factor Tu,86
Lipoic acid synthetase,85
Lipoyltransferase,85
Ferredoxin (4Fe-4S binding domain),85
Formate transporter,84
YrdC protein,86
AmmeMemoRadiSam system protein B,86
ATP-dependent Clp protease ATP-binding subunit ClpX,86
tRNA N6-adenosine threonylcarbamoyltransferase (TsaD/YgjD),54
Succinate--CoA ligase [ADP-forming] subunit alpha,75
Thymidylate synthase,85
Lipoate-ATP adenylate transferase,83
Retinal oxidase,84
Cystathionine beta-synthase,84
tRNA(Phe) 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine37-N4]-methyltransferase,86
Murein tripeptide amidase,86
"Ins(1,3,4,5,6)P5 2-kinase",86
Prephenate dehydrogenase,86
"Glucan 1,4-alpha-glucosidase",85
Scyllo-inosose epimerase/isomerase,84
Adenylyl-sulfate kinase,85
"2-Hydroxy-6-ketonona-2,4-dienedioate hydrolase",83
Phosphoenolpyruvate carboxykinase (ATP),85
5-Formyltetrahydrofolate cyclo-ligase,84
D-mannonate dehydrogenase,51
Glutamate racemase,83
Dolichyl-phosphate mannose synthase,85
Indole-3-pyruvate monooxygenase,82
Acyl-CoA thioesterase,84
"Tryptophan 2,3-dioxygenase",84
Malyl-N-acetyl-D-glucosamine N-acetyl hydrolase,86
4-Methyl-5-(beta-hydroxyethyl)thiazole phosphate synthase,49
Glucosamine 6-phosphate isomerase,86
Pyruvate dehydrogenase,86
Cyanidin 3-O-glucoside-p-coumaroyltransferase,70
Phosphopantothenate-cysteine ligase,79
Squalene monooxygenase,85
Pyruvate carboxylase,86
Leukotriene A-4 hydrolase,85
Leukotriene-C4 gamma-glutamyl transferase,85
5-Oxoprolinase,82
Pterin-4alpha-carbinolamine dehydratase,86
Prephenate dehydratase,86
Molybdopterin adenylyltransferase,86
3-Octaprenyl-4-hydroxybenzoate decarboxylase,81
26S proteasome non-ATPase regulatory subunit 9/PSMD9,83
26S proteasome complex subunit SEM1/SEM1,48
26S proteasome non-ATPase regulatory subunit 1/PSMD1,83
Proteasome activator complex subunit 4,85
Nucleoporin SEH1,85
Ras-related GTP-binding protein C/D,81
Signal peptidase complex subunit 1,84
Signal peptidase complex subunit 3,85
"Protein SOM1, mitochondrial",18
Transcription initiation factor TFIID subunit 12,85
TATA-box-binding protein ,85
WD repeat-containing protein 5 ,2
Retinoblastoma-binding protein 5 (RBBP5) ,79
RuvB-like 2 (RUVBL2/TIP49b),85
3-phosphoinositide-dependent protein kinase 1 (PDPK1),86
